Country_Code;Country_Name_En;Country_Name_Fr;Income_group_En;Income_group_Fr;Region_En;Region_Fr
ABW;Aruba;Aruba;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
AFG;Afghanistan;Afghanistan;Low income;Faible revenu;South Asia;Asie du sud
AGO;Angola;Angola;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
ALB;Albania;Albanie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
AND;Andorra;Andorre;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
ARE;United Arab Emirates;Émirats arabes unis;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ARG;Argentina;Argentine;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
ARM;Armenia;Arménie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
ASM;American Samoa;Samoa américaines;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
ATG;Antigua and Barbuda;Antigua-et-Barbuda;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
AUS;Australia;Australie;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
AUT;Austria;Autriche;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
AZE;Azerbaijan;Azerbaïdjan;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
BDI;Burundi;Burundi;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
BEL;Belgium;Belgique;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
BEN;Benin;Bénin;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
BFA;Burkina Faso;Burkina Faso;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
BGD;Bangladesh;Bangladesh;Lower middle income;Revenu intermédiaire inférieur;South Asia;Asie du sud
BGR;Bulgaria;Bulgarie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
BHR;Bahrain;Bahreïn;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
BHS;Bahamas, The;Bahamas;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
BIH;Bosnia and Herzegovina;Bosnie-Herzégovine;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
BLR;Belarus;Bélarus;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
BLZ;Belize;Belize;Lower middle income;Revenu intermédiaire inférieur;Latin America & Caribbean;Amérique latine et Caraïbes
BMU;Bermuda;Bermudes;High income;Revenu élevé;North America;Amérique du Nord
BOL;Bolivia;Bolivie;Lower middle income;Revenu intermédiaire inférieur;Latin America & Caribbean;Amérique latine et Caraïbes
BRA;Brazil;Brésil;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
BRB;Barbados;Barbade;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
BRN;Brunei Darussalam;Brunéi Darussalam;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
BTN;Bhutan;Bhoutan;Lower middle income;Revenu intermédiaire inférieur;South Asia;Asie du sud
BWA;Botswana;Botswana;Upper middle income;Revenu moyen supérieur;Sub-Saharan Africa;Afrique sub-saharienne
CAF;Central African Republic;République centrafricaine;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
CAN;Canada;Canada;High income;Revenu élevé;North America;Amérique du Nord
CHE;Switzerland;Suisse;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
CHI;Channel Islands;Îles Anglo-Normandes;Not classified;Non classés;Europe & Central Asia;Europe et Asie centrale
CHL;Chile;Chili;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
CHN;China;Chine;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
CIV;Cote d'Ivoire;Côte d'Ivoire;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
CMR;Cameroon;Cameroun;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
COD;Congo, Dem. Rep.;Congo, République démocratique du;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
COG;Congo, Rep.;Congo, République du;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
COL;Colombia;Colombie;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
COM;Comoros;Comores;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
CPV;Cabo Verde;Cabo Verde ;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
CRI;Costa Rica;Costa Rica;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
CUB;Cuba;Cuba;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
CUW;Curacao;Curacao;Not classified;Non classés;Latin America & Caribbean;Amérique latine et Caraïbes
CYM;Cayman Islands;Îles Caïmans;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
CYP;Cyprus;Chypre;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
CZE;Czechia;République tchèque;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
DEU;Germany;Allemagne;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
DJI;Djibouti;Djibouti;Lower middle income;Revenu intermédiaire inférieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
DMA;Dominica;Dominique;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
DNK;Denmark;Danemark;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
DOM;Dominican Republic;République dominicaine;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
DZA;Algeria;Algérie;Lower middle income;Revenu intermédiaire inférieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ECU;Ecuador;Équateur;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
EGY;Egypt, Arab Rep.;Égypte, République arabe d’;Lower middle income;Revenu intermédiaire inférieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ERI;Eritrea;Érythrée;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
ESP;Spain;Espagne;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
EST;Estonia;Estonie;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
ETH;Ethiopia;Éthiopie;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
FIN;Finland;Finlande;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
FJI;Fiji;Fidji;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
FRA;France;France;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
FRO;Faroe Islands;Îles Féroé;Not classified;Non classés;Europe & Central Asia;Europe et Asie centrale
FSM;Micronesia, Fed. Sts.;Micronésie, États fédérés de;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
GAB;Gabon;Gabon;Upper middle income;Revenu moyen supérieur;Sub-Saharan Africa;Afrique sub-saharienne
GBR;United Kingdom;Royaume-Uni;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
GEO;Georgia;Géorgie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
GHA;Ghana;Ghana;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
GIB;Gibraltar;Gibraltar;Not classified;Non classés;Europe & Central Asia;Europe et Asie centrale
GIN;Guinea;Guinée;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
GMB;Gambia, The;Gambie;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
GNB;Guinea-Bissau;Guinée-Bissau;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
GNQ;Equatorial Guinea;Guinée équatoriale;Upper middle income;Revenu moyen supérieur;Sub-Saharan Africa;Afrique sub-saharienne
GRC;Greece;Grèce;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
GRD;Grenada;Grenade;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
GRL;Greenland;Groenland;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
GTM;Guatemala;Guatemala;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
GUM;Guam;Guam;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
GUY;Guyana;Guyana;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
HKG;Hong Kong SAR, China;Chine, RAS de Hong Kong;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
HND;Honduras;Honduras;Lower middle income;Revenu intermédiaire inférieur;Latin America & Caribbean;Amérique latine et Caraïbes
HRV;Croatia;Croatie;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
HTI;Haiti;Haïti;Lower middle income;Revenu intermédiaire inférieur;Latin America & Caribbean;Amérique latine et Caraïbes
HUN;Hungary;Hongrie;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
IDN;Indonesia;Indonésie;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
IMN;Isle of Man;Île de Man;Not classified;Non classés;Europe & Central Asia;Europe et Asie centrale
IND;India;Inde;Lower middle income;Revenu intermédiaire inférieur;South Asia;Asie du sud
IRL;Ireland;Irlande;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
IRN;Iran, Islamic Rep.;Iran, République islamique d’;Lower middle income;Revenu intermédiaire inférieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
IRQ;Iraq;Iraq;Upper middle income;Revenu moyen supérieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ISL;Iceland;Islande;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
ISR;Israel;Israël;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ITA;Italy;Italie;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
JAM;Jamaica;Jamaïque;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
JOR;Jordan;Jordanie;Upper middle income;Revenu moyen supérieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
JPN;Japan;Japon;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
KAZ;Kazakhstan;Kazakhstan;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
KEN;Kenya;Kenya;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
KGZ;Kyrgyz Republic;République kirghize;Lower middle income;Revenu intermédiaire inférieur;Europe & Central Asia;Europe et Asie centrale
KHM;Cambodia;Cambodge;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
KIR;Kiribati;Kiribati;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
KNA;St. Kitts and Nevis;Saint-Kitts-et-Nevis;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
KOR;Korea, Rep.;Corée, République de;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
KWT;Kuwait;Koweït;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
LAO;Lao PDR;République démocratique populaire lao;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
LBN;Lebanon;Liban;Upper middle income;Revenu moyen supérieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
LBR;Liberia;Libéria;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
LBY;Libya;Libye;Upper middle income;Revenu moyen supérieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
LCA;St. Lucia;Sainte-Lucie;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
LIE;Liechtenstein;Liechtenstein;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
LKA;Sri Lanka;Sri Lanka;Lower middle income;Revenu intermédiaire inférieur;South Asia;Asie du sud
LSO;Lesotho;Lesotho;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
LTU;Lithuania;Lituanie;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
LUX;Luxembourg;Luxembourg;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
LVA;Latvia;Lettonie;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
MAC;Macao SAR, China;Région administrative spéciale de Macao, Chine;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
MAF;St. Martin (French part);Saint-Martin (fr);Not classified;Non classés;Latin America & Caribbean;Amérique latine et Caraïbes
MAR;Morocco;Maroc;Lower middle income;Revenu intermédiaire inférieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
MCO;Monaco;Monaco;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
MDA;Moldova;Moldova;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
MDG;Madagascar;Madagascar;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
MDV;Maldives;Maldives;Upper middle income;Revenu moyen supérieur;South Asia;Asie du sud
MEX;Mexico;Mexique;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
MHL;Marshall Islands;Îles Marshall;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
MKD;North Macedonia;Macédoine du Nord;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
MLI;Mali;Mali;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
MLT;Malta;Malte;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
MMR;Myanmar;Myanmar;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
MNE;Montenegro;Monténégro;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
MNG;Mongolia;Mongolie;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
MNP;Northern Mariana Islands;Mariannes;Not classified;Non classés;East Asia & Pacific;Asie de l'Est et Pacifique
MOZ;Mozambique;Mozambique;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
MRT;Mauritania;Mauritanie;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
MUS;Mauritius;Maurice;Upper middle income;Revenu moyen supérieur;Sub-Saharan Africa;Afrique sub-saharienne
MWI;Malawi;Malawi;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
MYS;Malaysia;Malaisie;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
NAM;Namibia;Namibie;Upper middle income;Revenu moyen supérieur;Sub-Saharan Africa;Afrique sub-saharienne
NCL;New Caledonia;Nouvelle-Calédonie;Not classified;Non classés;East Asia & Pacific;Asie de l'Est et Pacifique
NER;Niger;Niger;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
NGA;Nigeria;Nigéria;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
NIC;Nicaragua;Nicaragua;Lower middle income;Revenu intermédiaire inférieur;Latin America & Caribbean;Amérique latine et Caraïbes
NLD;Netherlands;Pays-Bas;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
NOR;Norway;Norvège;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
NPL;Nepal;Népal;Lower middle income;Revenu intermédiaire inférieur;South Asia;Asie du sud
NRU;Nauru;Nauru;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
NZL;New Zealand;Nouvelle-Zélande;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
OMN;Oman;Oman;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
PAK;Pakistan;Pakistan;Lower middle income;Revenu intermédiaire inférieur;South Asia;Asie du sud
PAN;Panama;Panama;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
PER;Peru;Pérou;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
PHL;Philippines;Philippines;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
PLW;Palau;Palaos;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
PNG;Papua New Guinea;Papouasie-Nouvelle-Guinée;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
POL;Poland;Pologne;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
PRI;Puerto Rico;Porto Rico;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
PRK;Korea, Dem. People's Rep.;Corée, République démocratique de;Low income;Faible revenu;East Asia & Pacific;Asie de l'Est et Pacifique
PRT;Portugal;Portugal;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
PRY;Paraguay;Paraguay;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
PSE;West Bank and Gaza;Cisjordanie et Gaza;Lower middle income;Revenu intermédiaire inférieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
PYF;French Polynesia;Polynésie française;Not classified;Non classés;East Asia & Pacific;Asie de l'Est et Pacifique
QAT;Qatar;Qatar;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ROU;Romania;Roumanie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
RUS;Russian Federation;Fédération de Russie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
RWA;Rwanda;Rwanda;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
SAU;Saudi Arabia;Arabie saoudite;High income;Revenu élevé;Middle East & North Africa;Moyen-Orient et Afrique du Nord
SDN;Sudan;Soudan;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
SEN;Senegal;Sénégal;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
SGP;Singapore;Singapour;High income;Revenu élevé;East Asia & Pacific;Asie de l'Est et Pacifique
SLB;Solomon Islands;Îles Salomon;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
SLE;Sierra Leone;Sierra Leone;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
SLV;El Salvador;El Salvador;Lower middle income;Revenu intermédiaire inférieur;Latin America & Caribbean;Amérique latine et Caraïbes
SMR;San Marino;Saint-Marin;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
SOM;Somalia;Somalie;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
SRB;Serbia;Serbie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
SSD;South Sudan;Soudan du Sud;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
STP;Sao Tome and Principe;Sao Tomé-et-Principe;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
SUR;Suriname;Suriname;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
SVK;Slovak Republic;République slovaque;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
SVN;Slovenia;Slovénie;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
SWE;Sweden;Suède;High income;Revenu élevé;Europe & Central Asia;Europe et Asie centrale
SWZ;Eswatini;Eswatini;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
SXM;Sint Maarten (Dutch part);Sint Maarten (Dutch part);Not classified;Non classés;Latin America & Caribbean;Amérique latine et Caraïbes
SYC;Seychelles;Seychelles;High income;Revenu élevé;Sub-Saharan Africa;Afrique sub-saharienne
SYR;Syrian Arab Republic;République arabe syrienne;Low income;Faible revenu;Middle East & North Africa;Moyen-Orient et Afrique du Nord
TCA;Turks and Caicos Islands;Îles Turques-et-Caïques;Not classified;Non classés;Latin America & Caribbean;Amérique latine et Caraïbes
TCD;Chad;Tchad;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
TGO;Togo;Togo;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
THA;Thailand;Thaïlande;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
TJK;Tajikistan;Tadjikistan;Lower middle income;Revenu intermédiaire inférieur;Europe & Central Asia;Europe et Asie centrale
TKM;Turkmenistan;Turkménistan;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
TLS;Timor-Leste;Timor-Leste;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
TON;Tonga;Tonga;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
TTO;Trinidad and Tobago;Trinité-et-Tobago;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
TUN;Tunisia;Tunisie;Lower middle income;Revenu intermédiaire inférieur;Middle East & North Africa;Moyen-Orient et Afrique du Nord
TUR;Turkiye;Turquie;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
TUV;Tuvalu;Tuvalu;Upper middle income;Revenu moyen supérieur;East Asia & Pacific;Asie de l'Est et Pacifique
TZA;Tanzania;Tanzanie;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
UGA;Uganda;Ouganda;Low income;Faible revenu;Sub-Saharan Africa;Afrique sub-saharienne
UKR;Ukraine;Ukraine;Lower middle income;Revenu intermédiaire inférieur;Europe & Central Asia;Europe et Asie centrale
URY;Uruguay;Uruguay;High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
USA;United States;États-Unis;High income;Revenu élevé;North America;Amérique du Nord
UZB;Uzbekistan;Ouzbékistan;Lower middle income;Revenu intermédiaire inférieur;Europe & Central Asia;Europe et Asie centrale
VCT;St. Vincent and the Grenadines;Saint-Vincent-et-les Grenadines;Upper middle income;Revenu moyen supérieur;Latin America & Caribbean;Amérique latine et Caraïbes
VEN;Venezuela, RB;Venezuela;Not classified;Non classés;Latin America & Caribbean;Amérique latine et Caraïbes
VGB;British Virgin Islands;Îles Vierges britanniques;Not classified;Non classés;Latin America & Caribbean;Amérique latine et Caraïbes
VIR;Virgin Islands (U.S.);Îles Vierges (EU);High income;Revenu élevé;Latin America & Caribbean;Amérique latine et Caraïbes
VNM;Viet Nam;Viet Nam;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
VUT;Vanuatu;Vanuatu;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
WSM;Samoa;Samoa;Lower middle income;Revenu intermédiaire inférieur;East Asia & Pacific;Asie de l'Est et Pacifique
XKX;Kosovo;Kosovo;Upper middle income;Revenu moyen supérieur;Europe & Central Asia;Europe et Asie centrale
YEM;Yemen, Rep.;Yémen, Rép. du;Low income;Faible revenu;Middle East & North Africa;Moyen-Orient et Afrique du Nord
ZAF;South Africa;Afrique du Sud;Upper middle income;Revenu moyen supérieur;Sub-Saharan Africa;Afrique sub-saharienne
ZMB;Zambia;Zambie;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
ZWE;Zimbabwe;Zimbabwe;Lower middle income;Revenu intermédiaire inférieur;Sub-Saharan Africa;Afrique sub-saharienne
